mutant_id,program,operator,before,after,label
000372d003203e761ae722f4853c6ba6a98b0f49,Bisect.java,AORB,double diff = x * x - N;,double diff = x * x + N;,0
0011455aa4157b3e3c05f88bb79da6f8d1bad476,Bisect.java,AOIU,if (diff > 0) {,if (diff > -1) {,1
00500f41868bee227d104917d5720c98a53a5dd9,WordUtils.java,AORB,java.lang.StringBuffer wrappedLine = new java.lang.StringBuffer( inputLineLength + 32 );,java.lang.StringBuffer wrappedLine = new java.lang.StringBuffer( inputLineLength / 32 );,1
00564c6bbf0f488185b9a71b8eeaafbab93cb09b,Replace.c,AOIS,"junk = addstr(DASH, dest, j, maxset);","junk = addstr(DASH, dest, j, maxset--);",1
006d559571164619a4e8bf147b2492880ff90631,QuickSort.java,ROR,while (bound < data[upper]) {,while (bound == data[upper]) {,0
0076071d69e9c6a81348141612ca19ae11242c0e,Defroster.c,AOIS,if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( --We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),1
0081cdaa4f76a736850a9cabfe4d5c3cb25f9082,QuickSort.java,ROR,while (bound < data[upper]) {,while (bound != data[upper]) {,0
009ecc7f1a8c9eff8d7d9ae398d0517d3ac7c200,QuickSort.java,ROR,while (lower <= upper) {,while (lower > upper) {,0
00c11c0577437e2ed66724071294bfa2496dd952,Defroster.c,ROR,if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e < 0),1
00c303cc5ed1407260257e5e90c77d12e7955346,ArrayUtils.java,ROR,} else if (startIndex >= array.length) {,} else if (startIndex == array.length) {,0
00d0e5bcd2fb1daa3f6a3bcf325cc4c910860d0c,Replace.c,ABSI,"junk = addstr(ANY, pat, &j, MAXPAT);","junk = addstr(abs(ANY), pat, &j, MAXPAT);",1
00e68fc85069168f7f6bccb97b13bb699d8f2b42,ArrayUtils.java,ROR,if (newSize <= 0) {,if (newSize < 0) {,0
0109747305025060396129800df87800c4ec4a1b,Replace.c,AOIS,"junk = addstr(DASH, dest, j, maxset);","junk = addstr(DASH, dest++, j, maxset);",1
010fa79384e5c5fbe06a1865d3eaabeb4251a844,Defroster.java,AORB,if ( We1_BA_DEF_ev_ctr2 + We1_BA_DEF_ev_ctr3 + We1_BA_DEF_ev_ctr5 == 1024),if ( We1_BA_DEF_ev_ctr2 + We1_BA_DEF_ev_ctr3 - We1_BA_DEF_ev_ctr5 == 1024),1
0118b635908475f8466eab9547a041af63b746dc,XmlFriendlyNameCoder.java,ROR,for (; i < length; i++ ) {,for (; i <= length; i++ ) {,0
0128e078675a96104679bcf2239457ecad66b0fc,Replace.c,AOIS,"junk = addstr(src[*i], dest, j, maxset);","junk = addstr(src[*i], dest--, j, maxset);",1
012b294f77c8a745f969d82cb944b9211a0db602,QuickSort.java,AOIS,max = i;,max = --i;,0
01569eade5bd33e99bb822fefed21fd275a24d2f,Space.c,ROR,if (strlen(Keywords[i]) > KWDSLEN) {,if (strlen(Keywords[i]) == KWDSLEN) {,1
0163aede1cc5f2b800c764924aab568a5b129712,Vector3D.java,AOIU,"return new Vector3D(0, inverse * z, -inverse * y);","return new Vector3D(-1, inverse * z, -inverse * y);",0
01798ae6cad04c8e8281cf76614caabce613d4b5,Vector3D.java,,} else if ((y >= -threshold) && (y <= threshold)) {,} else if ((y >= -threshold) == (y <= threshold)) {,1
017b681e5cbbdbfd92cdf9971e758a1c84f2def1,Triangle.java,,if (a <= 0 || b <= 0 || c <= 0) {,if (true) {,0
017ba621e8ed0e036c406fb562eed7f79e92a0e9,Replace.c,AOIS,result = s[*i];,result = s[*i--];,1
0184c1510b1dd2e6efa85e07adc8415da3ee1534,Profit.c,AOIS,return(bonus);,return(bonus++);,1
018fb1eddb78c9d19e358740eea958f0aec4198d,Triangle.java,AOIS,if (a + b < c || a + c < b || b + c < a) {,if (a + b < c || a + c < b-- || b + c < a) {,0
019d81656fab4c63ed1083e3b7a8386ec1750690,ArrayUtils.java,CR,if (newSize <= 0) {,if (newSize <= 1) {,0
01b1446407225cf63e8a6e24e2aed93e8c01fcf2,Triangle.java,AORB,trian = trian + 2;,trian = trian % 2;,0
01f55a5d4781db1440cdf796bd162af1456d72cd,Triangle.java,,if (trian == 2 && a + c > b) {,if (a + c > b) {,1
01fff259ca98ae60ac709d4c8a59007f1148abd9,Defroster.c,ROR,if (( We1_BA_DEF_ev_ctr1 >= (( signed short ) 1000 )) && ( confirmation_e == 0 ) && ( ControlElement_DEF == 0 )),if (( We1_BA_DEF_ev_ctr1 >= (( signed short ) 1000 )) && ( confirmation_e != 0 ) && ( ControlElement_DEF == 0 )),1
02192603ef0463715e0d4ec6942faf53954ac0a6,WordUtils.java,AORB,"wrappedLine.append(str.substring(offset, wrapLength + offset));","wrappedLine.append(str.substring(offset, wrapLength % offset));",0
021ed339116b210ab343a0bb2503c6831d63c49d,Vector3D.java,AORB,double inverse  = 1 / Math.sqrt(y * y + z * z);,double inverse  = 1 / Math.sqrt(y * y / (z * z));,0
02295cfbc1595bc14399d9594d82347a2bbcdd66,Triangle.java,AORB,if (a + b < c || a + c < b || b + c < a) {,if (b < c || a + c < b || b + c < a) {,0
023e0b887c399763854ec179ed55d7d503627400,Bisect.java,AORB,diff = x * x - N;,diff = x + x - N;,0
02759fe65cb11af8a0084ad0708cb7af15967eaa,ArrayUtils.java,AOIU,"map.put(entry[0], entry[1]);","map.put(entry[-1], entry[1]);",0
027d78eec5b6780ebc4d63246a190d64443014a5,Bubble.java,AORB,for(j=i+1;j<5;j++),for(j=i/1;j<5;j++),1
02812284a32f84f50e28f269bb7c6590ac235a5d,Defroster.c,AOIS,if (( We1_BA_DEF_ev_ctr1 >= (( signed short ) 1000 )) && ( confirmation_e == 0 ) && ( ControlElement_DEF == 0 )),if (( We1_BA_DEF_ev_ctr1 >= (( signed short ) 1000 )) && ( --confirmation_e == 0 ) && ( ControlElement_DEF == 0 )),1
02b765dd2899c8ee6c6084598fdf9d4fc8262a7e,Triangle.java,ROD,if (b == c) {,if (false) {,0
02bb07146acc02f059d1ff273d0ebe89d7388f20,Schedule.c,AOIS,return (list);,return list++;,1
02bbb24c85a09765c2752c65f076eb2f0257931c,ArrayUtils.java,CDL,if (newSize <= 0) {,if (true) {,0
02c013a28196e993071a8b98452b3fb72086595b,Replace.c,ABSI,"junk = addstr(ENDSTR, &(*sub), &j, MAXPAT);","junk = addstr(ENDSTR, &(*sub), abs(&j), MAXPAT);",1
02ecd920a1345ce17706f917d2a3229aec1bfc99,Defroster.c,ROR,if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 > (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),1
033d4944015f1c77888bf4567efb70a5fc8ddc27,Bisect.java,AOIU,double diff = x * x - N;,double diff = -x * x - N;,0
034bb3b7fb061effc41b072fd7b4ac33dd9f447e,Bisect.java,AOIS,this.mEpsilon = epsilon;,this.mEpsilon = --epsilon;,0
035070baf35e1e76c438f741c0c483a3d6408cb8,Triangle.java,AOIS,if (b == c) {,if (b == ++c) {,0
035243074a88a84c0bc4baf769d3f4cfe977ca67,Triangle.java,ROR,if (a + b < c || a + c < b || b + c < a) {,if (a + b < c || a + c < b || b + c <= a) {,0
0357c88042f7459f26a50d2ab07c4ae385ca15ce,WordUtils.java,ROR,if (str.charAt(offset) == ' ') {,if (str.charAt(offset) >= ' ') {,0
035c2f92a4887458daf2e241743a0386ac190cc4,ArrayUtils.java,AORB,int newSize = endIndexExclusive - startIndexInclusive;,int newSize = endIndexExclusive % startIndexInclusive;,0
035d58a35eac6f5c2aab0758c14c86aa664c59a4,QuickSort.java,AORB,"swap( data, first, (first + last) / 2 );","swap( data, first, (last) / 2 );",0
0367615ebde614917bdcd4cccdc70a65dfe5d600,Triangle.java,AOIS,if (a + b < c || a + c < b || b + c < a) {,if (a + b < c || a + c < b || b++ + c < a) {,1
0373d4a7c3f3720648b4c3d9e75c1f55fd636021,Defroster.c,AOIS,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,We1_BA_DEF = We1_BA_DEF_ev_ctr2++ * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,1
03a4ac402261c469dfd6c660173f275016d989d1,Bisect.java,AORB,x = (M + x) / 2;,x = (M + x) - 2;,0
03ba9bd03071551528ad35689db97f5e9870e797,ArrayUtils.java,CDL,if (startIndex < 0) {,if (false) {,0
03c9fd70317b40ada50bb0ad7ccf8c7958f1cc03,Defroster.java,ABSI,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,We1_BA_DEF = -abs(We1_BA_DEF_ev_ctr2) * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,1
040deca7f11194a353d1b3d9b10574336e030191,Defroster.java,AOIS,if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e > 0 && ++confirmation_e > 0),1
041d8aae6812d9a804d36a4858e005a67c8a4465,WordUtils.java,CDL,if (str == null || str.length() == 0 || delimLen == 0) {,if (delimLen == 0) {,0
042b25b5e31c6d531e46fa01d6426004763cec78,Triangle.java,LOI,trian = trian + 3;,trian = ~trian + 3;,0
042f274ff277d3419c04db22342373251022d2bf,Replace.c,AOIS,if ((done) || (arg[i] != delim)),if ((done) || (arg[i] != delim--)),1
043c409db9a605f0594b13f9949c15ea1949dec7,Triangle.java,AORB,if (trian == 2 && a + c > b) {,if (trian == 2 && false) {,0
047cc9a6ddcc31d3f822043f90075eb2620cd6cb,Defroster.c,ROR,if ( ! ( We1_BA_DEF == We1_BA_DEF_ev )),if ( ! ( We1_BA_DEF < We1_BA_DEF_ev )),1
047f3acbbcb8ec97f1fcebb6dcbed7955cf95e3d,Space.c,ROR,while ((p != NULL) && (p->LINE_NUM == err_ptr->LINE_NUM)) {,while ((p != NULL) && (p->LINE_NUM <= err_ptr->LINE_NUM)) {,1
048ac94bd6b66104a1bceab5f72b2ca57f2e4d50,ArrayUtils.java,CDL,for (int i = startIndex; i >= 0; i--) {,for (int i = startIndex; true; i--) {,0
049826cd174a3c98bb9e3d49b611e0299b290385,WordUtils.java,AORB,offset = spaceToWrapAt + 1;,offset = spaceToWrapAt * 1;,0
04bfcbe8b6e68e6ce528384a0af514ce01b8a184,Insert.java,AOIS,"System.out.printf(""%6d"", a[i]);","System.out.printf(""%6d"", a[i]++);",1
04ec2dc59b6233ba9130009a43f8f331d922c587,Bisect.java,AOIS,M = x;,M = x--;,0
04f843c57a2daf872f4ca1f4417fe98ba74917f9,Bisect.java,ADL,mResult = r;,,0
04fef1d49965425b5760c8cd7a17d5c39a3fc680,Carsimulator.c,AORB,if (brakepedal<(maxBrake-1)),if (brakepedal<(maxBrake/1)),0
0501fd8ece9f93fc66a68e8ddbb88471e79e29fe,QuickSort.java,AOIS,int tmp = data[i];,int tmp = data[i++];,0
051906041fb43b1975b5e96e0160f2c4bb406306,Schedule.c,ROR,if (count > 0),if (count != 0),1
05465e553592dc980c7076f12cedebd80f2bc926,Vector3D.java,AORB,double inverse  = 1 / Math.sqrt(x * x + z * z);,double inverse  = 1 - Math.sqrt(x * x + z * z);,0
05483b9786f57ac259fe1522f04fc9bb9ed416c8,Bisect.java,AORB,x = (M + x) / 2;,x = (M) / 2;,0
055b6d15ab5bb2fc6011baa588a17c884939054e,Replace.c,AOIU,pat[jstart] = *j - jstart - 1;,pat[jstart] = *j - abs(jstart) - 1;,1
056302348f4dbd206b6b7cd349720a0bc5ca2347,Triangle.java,AOIU,return INVALID;,return -INVALID;,0
0568bfc21f1c10ea9f0f0ae87bd587600a557fd6,XmlFriendlyNameCoder.java,AOIU,"result.append(name.substring(0, i));","result.append(name.substring(-1, i));",0
056d5fb4343ccf7742b4218d8a0da448545912fd,QuickSort.java,ADL,lower++;,;,0
05867ca481b0f6767e7e22697cbe76d3f42268e7,Triangle.java,AORB,if (trian == 3 && b + c > a) {,if (false) {,0
0588c03ade46d4201d35d8b5bdd6f600c3d48858,QuickSort.java,AORB,"quicksort( data, 0, data.length - 2 );","quicksort( data, 0, data.length );",0
0598c3da8ff9114695c641c93d369a5d83d951c3,Vector3D.java,AORB,"return new Vector3D(inverse * y, -inverse * x, 0);","return new Vector3D(inverse + y, -inverse * x, 0);",0
059de04e35a26d9ffb5e488f9efaba6ae5256493,Calendar.c,AOIS,day_code = (year + x1 - x2 + x3) %7;,day_code = (year + x1 - x2++ + x3) %7;,1
059e0673a5eb095bf6646e8ff15cf0d7a763b5a0,QuickSort.java,SEOI,if (data.length < 2) {,if (!(data.length < 2)) {,0
05ad75a5296757e92ee4e6a972a6e33c73b8f89a,Flex.c,ROR,if ( backing_up_file == NULL ),if ( backing_up_file <= NULL ),1
05b27a22c1fed25c2d842a5cd578fc84a13062f9,QuickSort.java,LOI,while (lower <= upper) {,while (~lower <= upper) {,0
05b3acbd7afe685d7206703c5caf822aa42e63cd,Calendar.c,AOIS,day_code = ( day_code + days_in_month ) % 7;,day_code = ( day_code + days_in_month++ ) % 7;,1
05bc3705743fd47a116ee6aef020615dfd532907,Triangle.java,ROR,if (trian == 2 && a + c > b) {,if (trian <= 2 && a + c > b) {,0
